OBJECTID,STOP_ID,ROUTE_NAME,DIRECTION,RAPID_BLCK,GOOGLEARTH,STOP_PAD,BENCH,TRASH_BIN,SHELTER,TRNST_SIGN,ST_TRE_INF,RT_ROUTE,CALL_BOX,FARE_KIOSK,BIKE_RACK,ADD_ST_SGN,STOP_LOC,STOP_ZONE,TRAFF_SIG,TR_SIG_LOC,CWALK_LOC,CWALK_MARK,CWALK_SIGN,CWALK_MED,CWALK_EXT,PARK_RESTR,BZONE_BLOC,PZONE_BLOC,FZONE_BLOC,TREE_CLEAR,SWALK_HEAT,LIGHTING,SWALK_MAT,SWLK_COND,LATITUDE,LONGITUDE,TRASH_OWN,NOTES,ROUTE_NUMB,BOARD_DAY,GRVS_DEMO,PAD_SHAPE,PAD_COND,PAD_MAT,ADA_REQ,SLOPE,SHELT_TYPE,SIGN_TYPE,SIGN_HEIGH,SIGN_LT_CL,WALK_WIDTH,PAD_WIDTH,PAD_LENGTH,WARD,Creator,Create_Date,Editor,Last_Editor
1,20,DIVISION,SOUTH BOUND,NO,YES,YES,NO,AT STOP,NO,YES,YES,NO,NO,NO,NO,NO,MIDBLOCK,NONE,TRAFFIC LIGHT,S OR E OF MIDBLOCK,AT INTERSECTION,ALL LEGS OF INTERSECTION,FULL TRAFFIC SIGNAL,NO,NO,NO PARKING SIGN NEEDED,NONE,NONE,NONE,NO CLEARANCE ISSUES,NO,PUBLIC STREET LIGHT,CONCRETE,POOR CONDITION,42.9626334737292,-85.6679353753174,CITY / MUNICIPAL, ,1,47.42857143,5,FULL DEPTH BETWEEN STREET AND SIDEWALK,GOOD CONDITION,CONCRETE,YES,UNDER 2%,NONE,BOLTED TO PAD,7 FEET OR ABOVE,OVER 2 FEET,4 FEET OR MORE,5 FEET OR GREATER,8 FEET OR GREATER,1,Joeverman,1536329743132,Joeverman,1536329743132
2,26,DIVISION,SOUTH BOUND,YES,YES,YES,NO,ON BLOCK,NO,YES,YES,NO,NO,NO,NO,NO,AT INTERSECTION - NEAR SIDE,NONE,TRAFFIC LIGHT,AT INTERSECTION,AT INTERSECTION,ALL LEGS OF INTERSECTION,FULL TRAFFIC SIGNAL,NO,NO,POSTED AS NO PARKING,NONE,NONE,NONE,NO CLEARANCE ISSUES,NO,PUBLIC STREET LIGHT,CONCRETE,GOOD CONDITION,42.9597360004466,-85.6679609996548,CITY / MUNICIPAL, ,1,47.07142857,4,FULL DEPTH BETWEEN STREET AND SIDEWALK,GOOD CONDITION,PAVERS,YES,UNDER 2%,NONE,BOLTED TO PAD,7 FEET OR ABOVE,OVER 2 FEET,4 FEET OR MORE,5 FEET OR GREATER,8 FEET OR GREATER,1,Joeverman,1536329743132,Joeverman,1536329743132
3,31,DIVISION,SOUTH BOUND,NO,YES,YES,NO,AT STOP,NO,YES,YES,NO,NO,NO,NO,NO,AT INTERSECTION - NEAR SIDE,NONE,NO TRAFFIC CONTROL,AT INTERSECTION,AT INTERSECTION,SOME LEGS OF INTERSECTION,NO SIGNAL OR BEACON,NO,NO,METER PARKING CONFLICT,NONE,NONE,NONE,NO CLEARANCE ISSUES,NO,PUBLIC STREET LIGHT,CONCRETE,POOR CONDITION,42.9580959999672,-85.6678699997781,CITY / MUNICIPAL, ,1,29.78571429,5,FULL DEPTH BETWEEN STREET AND SIDEWALK,POOR CONDITION,CONCRETE,YES,UNDER 2%,NONE,BOLTED TO PAD,7 FEET OR ABOVE,OVER 2 FEET,4 FEET OR MORE,5 FEET OR GREATER,8 FEET OR GREATER,1,Joeverman,1536329743132,Joeverman,1536329743132
4,35,DIVISION,SOUTH BOUND,NO,YES,YES,NO,AT STOP,NO,YES,YES,NO,NO,NO,NO,NO,AT INTERSECTION - FAR SIDE,NONE,2 WAY STOP,AT INTERSECTION,AT INTERSECTION,SOME LEGS OF INTERSECTION,NO SIGNAL OR BEACON,YES,NO,NO PARKING SIGN NEEDED,NONE,NONE,NONE,NO CLEARANCE ISSUES,NO,PUBLIC STREET LIGHT,CONCRETE,POOR CONDITION,42.9548000002196,-85.6677550004314,CITY / MUNICIPAL, ,1,24,3,FULL DEPTH BETWEEN STREET AND SIDEWALK,POOR CONDITION,CONCRETE,YES,UNDER 2%,NONE,BOLTED TO PAD,7 FEET OR ABOVE,OVER 2 FEET,4 FEET OR MORE,5 FEET OR GREATER,8 FEET OR GREATER,1,Joeverman,1536329743132,Joeverman,1536329743132
5,446,DIVISION,NORTH BOUND,YES,NO,YES,NO,NONE,NO,YES,YES,NO,NO,NO,NO,NO,AT INTERSECTION - FAR SIDE,NONE,2 WAY STOP,AT INTERSECTION,NONE,UNMARKED,NO SIGNAL OR BEACON,NO,NO,POSTED AS NO PARKING,NONE,NONE,NONE,NO CLEARANCE ISSUES,NO,NO ADJACENT LIGHTING,PAVER,GOOD CONDITION,42.958734485042,-85.667645045031,NONE, ,1,5.85714286,2,FULL DEPTH BETWEEN STREET AND SIDEWALK,GOOD CONDITION,PAVERS,YES,UNDER 2%,NONE,IN GROUND POLE MOUNTED,7 FEET OR ABOVE,OVER 2 FEET,4 FEET OR MORE,5 FEET OR GREATER,8 FEET OR GREATER,1,Joeverman,1536329743132,Joeverman,1536329743132
6,461,DIVISION,MULTIPLE,NO,YES,YES,NO,NONE,NO,YES,YES,NO,NO,NO,NO,NO,AT INTERSECTION - NEAR SIDE,NONE,TRAFFIC LIGHT,AT INTERSECTION,AT INTERSECTION,ALL LEGS OF INTERSECTION,FULL TRAFFIC SIGNAL,NO,NO,POSTED AS NO PARKING,NONE,NONE,NONE,NO CLEARANCE ISSUES,NO,PUBLIC STREET LIGHT,CONCRETE,GOOD CONDITION,42.9633059997771,-85.6689909994781,NONE, ,"1; 4; 14; 15",16.9,2,FULL DEPTH BETWEEN STREET AND SIDEWALK,GOOD CONDITION,CONCRETE,YES,UNDER 2%,NONE,BOLTED TO PAD,7 FEET OR ABOVE,OVER 2 FEET,4 FEET OR MORE,5 FEET OR GREATER,8 FEET OR GREATER,2,Joeverman,1536329743132,Joeverman,1536329743132
7,471,DIVISION,MULTIPLE,YES,YES,YES,YES,NONE,YES,YES,YES,NO,NO,NO,NO,NO,AT INTERSECTION - NEAR SIDE,NONE,TRAFFIC LIGHT,AT INTERSECTION,AT INTERSECTION,ALL LEGS OF INTERSECTION,FULL TRAFFIC SIGNAL,NO,NO,POSTED AS NO PARKING,NONE,FIRE HYDRANT,NONE,NO CLEARANCE ISSUES,NO,NO ADJACENT LIGHTING,CONCRETE,GOOD CONDITION,42.9629479999974,-85.6725160000269,NONE, ,"1; 4; 6; 13; 14; 15",5.2,2,FULL DEPTH BETWEEN STREET AND SIDEWALK,GOOD CONDITION,CONCRETE,YES,UNDER 2%,"STANDARD TOLAR SILVER ""EUROS""",BOLTED TO PAD,7 FEET OR ABOVE,OVER 2 FEET,4 FEET OR MORE,5 FEET OR GREATER,8 FEET OR GREATER,1,Joeverman,1536329743132,Joeverman,1536329743132
8,4138,DIVISION,MULTIPLE,YES,YES,YES,NO,NONE,NO,YES,NO,NO,NO,NO,NO,NO,AT INTERSECTION - NEAR SIDE,NONE,4 WAY STOP,AT INTERSECTION,AT INTERSECTION,ALL LEGS OF INTERSECTION,NO SIGNAL OR BEACON,NO,NO,NO PARKING SIGN NEEDED,NONE,NONE,NONE,NO CLEARANCE ISSUES,NO,PUBLIC STREET LIGHT,CONCRETE,POOR CONDITION,42.959777999873,-85.67316399965,NONE, ,"1; 14; 15; 18; 22",15.1,5,FULL DEPTH BETWEEN STREET AND SIDEWALK,POOR CONDITION,CONCRETE,NO,OVER 2%,NONE,BOLTED TO PAD,7 FEET OR ABOVE,OVER 2 FEET,4 FEET OR MORE,5 FEET OR GREATER,8 FEET OR GREATER,1,Joeverman,1536329743132,Joeverman,1536329743132
9,663,KALAMAZOO,SOUTH BOUND,NO,YES,YES,NO,NONE,NO,YES,YES,NO,NO,NO,NO,NO,MIDBLOCK,NONE,TRAFFIC LIGHT,S OR E OF MIDBLOCK,AT INTERSECTION,ALL LEGS OF INTERSECTION,FULL TRAFFIC SIGNAL,NO,NO,POSTED AS NO PARKING,NONE,NONE,NONE,NO CLEARANCE ISSUES,NO,NO ADJACENT LIGHTING,CONCRETE,POOR CONDITION,42.927852999693,-85.6344069995325,NONE, ,2,27,5,CONNECTED TO SIDEWALK WITH WALK STRIP,GOOD CONDITION,CONCRETE,YES,UNDER 2%,NONE,IN GROUND POLE MOUNTED,7 FEET OR ABOVE,OVER 2 FEET,4 FEET OR MORE,5 FEET OR GREATER,8 FEET OR GREATER,3,Joeverman,1536329743132,Joeverman,1536329743132
10,840,KALAMAZOO,NORTH BOUND,NO,YES,YES,NO,NONE,NO,YES,YES,NO,NO,NO,NO,NO,AT INTERSECTION - NEAR SIDE,NONE,TRAFFIC LIGHT,AT INTERSECTION,AT INTERSECTION,ALL LEGS OF INTERSECTION,FULL TRAFFIC SIGNAL,NO,NO,POSTED AS NO PARKING,NONE,NONE,NONE,NO CLEARANCE ISSUES,NO,NO ADJACENT LIGHTING,CONCRETE,POOR CONDITION,42.8863330002832,-85.6259920005663,NONE, ,2,31,4,CONNECTED TO SIDEWALK WITH WALK STRIP,GOOD CONDITION,CONCRETE,YES,UNDER 2%,NONE,IN GROUND POLE MOUNTED,7 FEET OR ABOVE,OVER 2 FEET,4 FEET OR MORE,5 FEET OR GREATER,8 FEET OR GREATER,3,Joeverman,1536329743132,Joeverman,1536329743132
