X,Y,Name,description,_id,amenity,ele,gnis_county_id,gnis_created,gnis_feature_id,gnis_state_id,religion,wheelchair,addr_city,addr_housenumber,addr_postcode,addr_state,addr_street,denomination,phone,website,gnis_edited,reformed,air_conditioning,email,fax,source,alt_name,service_times
-85.3505697,42.8358659,Apostolic Christian Church,,node/353914671,place_of_worship,244,081,04/14/1980,620165,26,christian,,,,,,,,,,,,,,,,,
-85.6005813,42.8841958,Ascension Church,,node/353914862,place_of_worship,244,081,04/14/1980,620260,26,christian,1,,,,,,,,,,,,,,,,
-85.3319665,43.1189194,Ashley Church,,node/353914872,place_of_worship,289,081,04/14/1980,620274,26,christian,,,,,,,,,,,,,,,,,
-85.7631183,42.8984699,Bethel Lutheran Church,,node/353916309,place_of_worship,187,081,04/14/1980,621215,26,christian,1,,,,,,,,,,,,,,,,
-85.3186236,42.8278108,Bowne Church,,node/353916904,place_of_worship,245,081,04/14/1980,621811,26,christian,,,,,,,,,,,,,,,,,
-85.708367,43.0097474,Bristolwood Church,,node/353917210,place_of_worship,226,081,04/14/1980,622010,26,christian,,,,,,,,,,,,,,,,,
-85.3283458,42.8128109,Calvary Church,,node/353917836,place_of_worship,235,081,04/14/1980,622488,26,christian,,,,,,,,,,,,,,,,,
-85.60576,42.8862677,The Church of the Holy Cross,,node/353919901,place_of_worship,,,,623281,,christian,1,Kentwood,4252,49512,MI,Breton Avenue Southeast,episcopal,+1 616 949 7034,https://www.holycrossec.com/,,,,,,,,
-85.873371,42.9211359,Community Church,,node/353921388,place_of_worship,217,139,04/14/1980,623661,26,christian,,,,,,,,,,,,,,,,,
-85.4714157,43.087251,Congregational Church,,node/353921598,place_of_worship,266,081,04/14/1980,623694,26,christian,,,,,,,,,,,,,,,,,
-85.4658588,43.0591957,Faith Church,,node/353930438,place_of_worship,246,081,04/14/1980,625801,26,christian,,,,,,,,,,,,,,,,,
-85.6957657,43.0149995,Fairview Church,,node/353930556,place_of_worship,223,081,04/14/1980,625775,26,christian,,,,,,,,,,,,,,,,,
-85.6094731,42.9775273,First Free Church,,node/353931377,place_of_worship,240,081,04/14/1980,626008,26,christian,,,,,,,,,,,,,,,,,
-85.5703035,42.9264177,First Free Church,,node/353931382,place_of_worship,243,081,04/14/1980,626007,26,christian,,,,,,,,,,,,,,,,,
-85.6241908,42.7969747,Gaines Church,,node/353933043,place_of_worship,270,081,04/14/1980,626595,26,christian,,,,,,,,,,,,,,,,,
-85.7019793,43.0500251,Holy Trinity Church,,node/353940174,place_of_worship,244,081,04/14/1980,628497,26,christian,,,,,,,,,,,,,,,,,
-85.3108943,42.7992593,Hope Church,,node/353940597,place_of_worship,244,081,04/14/1980,628562,26,christian,,,,,,,,,,,,,,,,,
-85.6186562,42.8840722,Immanuel Church,,node/353942220,place_of_worship,232,081,04/14/1980,628937,26,christian,1,,,,,,,,,,,,,,,,
-85.4522406,42.8391984,Lakeside Church,,node/353946565,place_of_worship,233,081,04/14/1980,630033,26,christian,,,,,,,,,,,,,,,,,
-85.8597541,42.7469723,Market Street Church,,node/353950704,place_of_worship,225,005,04/14/1980,631575,26,christian,,,,,,,,,,,,,,,,,
-85.9204201,42.7427815,Oakland Christian Reformed Church,,node/353956637,place_of_worship,213,005,04/14/1980,633875,26,christian,,,,,,,,,,01/07/2006,,,,,,,
-85.3388999,42.7394783,North Irving Church,,node/353958425,place_of_worship,282,015,04/14/1980,633586,26,christian,,,,,,,,,,,,,,,,,
-85.596414,42.8694738,Paris Church,,node/353960341,place_of_worship,243,081,04/14/1980,634366,26,christian,1,,,,,,,,,,,,,,,,
-85.270843,42.798367,Pleasant Valley Church,,node/353961333,place_of_worship,260,067,04/14/1980,635122,26,christian,,,,,,,,,,,,,,,,,
-85.9036506,42.942802,Saint John Church,,node/353967023,place_of_worship,208,139,04/14/1980,636701,26,christian,,,,,,,,,,,,,,,,,
-85.6169515,42.8685668,Saint Mark Church,,node/353969456,place_of_worship,233,081,04/14/1980,636853,26,christian,1,,,,,,,,,,,,,,,,
-85.8444848,43.0453012,Saint Marys Church,,node/353969584,place_of_worship,210,139,04/14/1980,636902,26,christian,,,,,,,,,,,,,,,,,
-85.427794,42.7978103,Saint Patrick Church,,node/353970029,place_of_worship,241,081,04/14/1980,636969,26,christian,,,,,,,,,,,,,,,,,
-85.5261317,42.8111424,Saint Pauls Church,,node/353970145,place_of_worship,245,081,04/14/1980,637003,26,christian,,,,,,,,,,,,,,,,,
-85.5461309,42.7541987,Saint Josephs Church,,node/353970802,place_of_worship,251,015,04/14/1980,636807,26,christian,,,,,,,,,,,,,,,,,
-85.6466952,42.9169722,Tabernacle Community Church,,node/353972999,place_of_worship,208,081,04/14/1980,637618,26,christian,1,,,,,,,,,,,,,,,,
-85.6466999,42.9178056,Tabernacle Community Church,,node/353973134,place_of_worship,208,081,04/14/1980,637614,26,christian,1,,,,,,,,,,,,,,,,
-85.4308527,42.9072531,Snow Church,,node/353974561,place_of_worship,249,081,04/14/1980,638199,26,christian,,,,,,,,,,,,,,,,,
-85.2766791,42.8869771,South Boston Church,,node/353975367,place_of_worship,259,067,04/14/1980,638271,26,christian,,,,,,,,,,,,,,,,,
-85.9017044,42.8855807,South Blendon Church,,node/353975402,place_of_worship,198,139,04/14/1980,638269,26,christian,,,,,,,,,,,,,,,,,
-85.8239315,43.133634,Trinity Church,,node/353980759,place_of_worship,277,139,04/14/1980,1615077,26,christian,,,,,,,,,,,,,,,,,
-85.410576,42.972808,Vergennes Church,,node/353981986,place_of_worship,255,081,04/14/1980,1615541,26,christian,,,,,,,,,,,,,,,,,
-85.8883761,43.068356,Wright Church,,node/353985390,place_of_worship,223,139,04/14/1980,1616837,26,christian,,,,,,,,,,,,,,,,,
-85.4580749,42.8633646,Whitneyville Church,,node/353985548,place_of_worship,234,081,04/14/1980,1616400,26,christian,,,,,,,,,,,,,,,,,
-85.7733663,42.8997485,Zion Church,,node/353988402,place_of_worship,189,081,04/14/1980,1616951,26,christian,1,,,,,,,,,,,,,,,,
-85.9505556,42.8125,Vriesland Church,,node/354009695,place_of_worship,201,139,02/08/2007,2106567,26,christian,,,,,,,,,,,,,,,,,
-85.7622222,42.7941667,Saint Sebastian Church,,node/354009736,place_of_worship,237,081,02/08/2007,2106544,26,christian,,,,,,,,,,,,,,,,,
-85.7613889,42.8422222,Woodhaven Church,,node/354009750,place_of_worship,212,081,02/08/2007,2106546,26,christian,,,,,,,,,,,,,,,,,
-85.7591667,42.8663889,The Voyage Church,,node/354009754,place_of_worship,222,081,02/08/2007,2106547,26,christian,,,,,,,,,,,,,,,,,
-85.7883333,42.7544444,Saint Mary's Church,,node/354009808,place_of_worship,231,139,02/08/2007,2106570,26,christian,,,,,,,,,,,,,,,,,
-85.9561111,43.0633333,Church of the Savior,,node/354009826,place_of_worship,206,139,02/08/2007,2106576,26,christian,,,,,,,,,,,,,,,,,
-85.7160561,43.0073944,Calvary Chapel Riverside,,node/918791675,place_of_worship,,,,,,christian,,,,,,,nondenominational,,,,,,,,,,
-85.6038593,42.7454837,Green Lake Calvary Church,,node/1242329522,place_of_worship,,,,,,christian,,,,,,,CRCNA,,,,,,,,,,
-85.666674,42.7358623,Moline Christian Reformed Church,,node/1666298128,place_of_worship,,,,,,christian,,,,,,,reformed,,,,Christian Reformed Church in North America,,,,,,
-85.6834354,43.0088136,Annunciation Church,,node/1781797564,place_of_worship,,,,,,christian,1,,,,,,,,,,,,,,,,
-85.6431043,42.823894,Providence CRC,,node/1823214101,place_of_worship,,,,,,christian,,,,,,,reformed,,,,,,,,,,
-85.6477924,42.9151111,Alger Park Christian Reformed Church,,node/2306453801,place_of_worship,,,,,,christian,1,,,,,,reformed,,,,,,,,,,
-85.8420204,42.7301418,LifeChange Community Church,,node/2407520174,place_of_worship,,,,,,christian,1,Burnips,3014,49314,,Newell Street,,,https://www.lifechange.church/,,,1,,,,,
-85.7705532,42.8927321,Grandville Baptist Church,,node/2435281945,place_of_worship,,,,,,christian,1,,,,,,baptist,,,,,,,,,,
-85.7439362,42.8851707,Fellowship Christian Reformed,,node/2435316330,place_of_worship,,,,,,christian,1,,,,,,,,,,,,,,,,
-85.7636203,42.8838229,Grandville Bible Church,,node/2435324437,place_of_worship,,,,,,christian,,Grandville,4122,49418,MI,44th Street Southwest,,+1-616-532-3118,https://grandvillebible.org/,,,,,,,,
-85.7558985,42.8849743,Grandville Church of Christ,,node/2436118711,place_of_worship,,,,,,christian,,,,,,,,,,,,,,,,,
-85.7632585,42.89711,Grace Bible Church,,node/2436118734,place_of_worship,,,,,,christian,1,,,,,,,,,,,,,,,,
-85.7702838,42.8909019,Grandville Protestant Reformed,,node/2436118736,place_of_worship,,,,,,christian,1,,,,,,,,,,,,,,,,
