name,ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,ExtendedData/Data/2/value,ExtendedData/Data/2/_name,ExtendedData/Data/3/value,ExtendedData/Data/3/_name,ExtendedData/Data/4/value,ExtendedData/Data/4/_name,ExtendedData/Data/5/value,ExtendedData/Data/5/_name,ExtendedData/Data/6/value,ExtendedData/Data/6/_name,ExtendedData/Data/7/value,ExtendedData/Data/7/_name,longitude,latitude,ExtendedData/Data/8/value,ExtendedData/Data/8/_name,ExtendedData/Data/9/value,ExtendedData/Data/9/_name,ExtendedData/Data/10/value,ExtendedData/Data/10/_name,ExtendedData/Data/11/value,ExtendedData/Data/11/_name,ExtendedData/Data/12/value,ExtendedData/Data/12/_name,ExtendedData/Data/13/value,ExtendedData/Data/13/_name,ExtendedData/Data/14/value,ExtendedData/Data/14/_name,ExtendedData/Data/15/value,ExtendedData/Data/15/_name,ExtendedData/Data/16/value,ExtendedData/Data/16/_name,ExtendedData/Data/17/value,ExtendedData/Data/17/_name,ExtendedData/Data/18/value,ExtendedData/Data/18/_name,description
Alexander Hamilton School,node/353913818,@id,school,amenity,215,ele,081,gnis:county_id,04/14/1980,gnis:created,619935,gnis:feature_id,26,gnis:state_id,Alexander Hamilton School,name,-85.6083599,42.9039175,,,,,,,,,,,,,,,,,,,,,,,
Beach Grove School,node/353915623,@id,school,amenity,222,ele,081,gnis:county_id,04/14/1980,gnis:created,620799,gnis:feature_id,26,gnis:state_id,Beach Grove School,name,-85.764759,43.0316909,,,,,,,,,,,,,,,,,,,,,,,
Beckwith School,node/353915793,@id,school,amenity,243,ele,081,gnis:county_id,04/14/1980,gnis:created,620977,gnis:feature_id,26,gnis:state_id,Beckwith School,name,-85.6105846,42.9850271,,,,,,,,,,,,,,,,,,,,,,,
Blodgett School,node/353916719,@id,school,amenity,228,ele,081,gnis:county_id,04/14/1980,gnis:created,621602,gnis:feature_id,26,gnis:state_id,Blodgett School,name,-85.6466964,42.9591937,,,,,,,,,,,,,,,,,,,,,,,
Calvin High School,node/353917470,@id,school,amenity,193,ele,081,gnis:county_id,04/14/1980,gnis:created,622498,gnis:feature_id,26,gnis:state_id,Calvin High School,name,-85.7419761,42.8964156,,,,,,,,,,,,,,,,,,,,,,,
Burr Oak School,node/353917585,@id,school,amenity,239,ele,081,gnis:county_id,04/14/1980,gnis:created,622318,gnis:feature_id,26,gnis:state_id,Burr Oak School,name,-85.6291963,42.981138,,,,,,,,,,,,,,,,,,,,,,,
Grand Rapids Public Schools,node/353917852,@id,school,amenity,233,ele,081,gnis:county_id,04/14/1980,gnis:created,622497,gnis:feature_id,26,gnis:state_id,Grand Rapids Public Schools,name,-85.6355846,42.9489163,,,,,,,,,,,,,,,,,,,,,,,
Campau Park School,node/353917882,@id,school,amenity,201,ele,081,gnis:county_id,04/14/1980,gnis:created,622655,gnis:feature_id,26,gnis:state_id,Campau Park School,name,-85.6689192,42.9475269,,,,,,,,,,,,,,,,,,,,,,,
Clayton School,node/353920319,@id,school,amenity,229,ele,139,gnis:county_id,04/14/1980,gnis:created,623397,gnis:feature_id,26,gnis:state_id,Clayton School,name,-85.8089284,43.059468,,,,,,,,,,,,,,,,,,,,,,,
Mill Creek Middle School,node/353921508,@id,Comstock Park,addr:city,100,addr:housenumber,49321,addr:postcode,MI,addr:state,School Street Northeast,addr:street,school,amenity,protestant,denomination,-85.665033,43.0369702,198,ele,081,gnis:county_id,04/14/1980,gnis:created,623678,gnis:feature_id,26,gnis:state_id,6-8,grades,Mill Creek Middle School,name,Comstock Park Public Schools,operator,public,operator:type,christian,religion,https://www.cppschools.com/schools/mill-creek-ms/,website,
